"Label (Grouping)","Total:","Total:!!Black or African American alone"
"    Estimate","5,414","50"
"Census Tract 1264; Oakland County; Michigan","",""
"    Estimate","3,586","143"
"Census Tract 1265; Oakland County; Michigan","",""
"    Estimate","3,032","0"
"Census Tract 1270; Oakland County; Michigan","",""
"    Estimate","4,564","0"
"Census Tract 1271; Oakland County; Michigan","",""
"    Estimate","6,149","101"
"Census Tract 1272; Oakland County; Michigan","",""
"    Estimate","1,700","6"
"Census Tract 1273; Oakland County; Michigan","",""
"    Estimate","4,949","213"
"Census Tract 1274; Oakland County; Michigan","",""
"    Estimate","1,701","5"
"Census Tract 1275; Oakland County; Michigan","",""
"    Estimate","6,741","855"
"Census Tract 1276; Oakland County; Michigan","",""
"    Estimate","5,320","151"
"Census Tract 1277; Oakland County; Michigan","",""
"    Estimate","6,427","200"
"Census Tract 1280; Oakland County; Michigan","",""
"    Estimate","3,379","48"
"Census Tract 1281; Oakland County; Michigan","",""
"    Estimate","2,673","27"
"Census Tract 1282; Oakland County; Michigan","",""
"    Estimate","3,038","36"
"Census Tract 1283; Oakland County; Michigan","",""
"    Estimate","4,858","88"
"Census Tract 1284; Oakland County; Michigan","",""
"    Estimate","3,760","92"
"Census Tract 1285; Oakland County; Michigan","",""
"    Estimate","2,963","268"
"Census Tract 1286; Oakland County; Michigan","",""
"    Estimate","3,520","0"
"Census Tract 1287; Oakland County; Michigan","",""
"    Estimate","2,026","7"
"Census Tract 1288; Oakland County; Michigan","",""
"    Estimate","1,645","30"
"Census Tract 1289; Oakland County; Michigan","",""
"    Estimate","7,514","176"
"Census Tract 1290; Oakland County; Michigan","",""
"    Estimate","2,947","8"
"Census Tract 1300; Oakland County; Michigan","",""
"    Estimate","3,236","169"
"Census Tract 1301; Oakland County; Michigan","",""
"    Estimate","2,512","84"
"Census Tract 1302; Oakland County; Michigan","",""
"    Estimate","5,294","30"
"Census Tract 1303; Oakland County; Michigan","",""
"    Estimate","4,354","415"
"Census Tract 1304; Oakland County; Michigan","",""
"    Estimate","2,739","11"
"Census Tract 1305; Oakland County; Michigan","",""
"    Estimate","2,985","0"
